1. Crater name ,2. Diameter [km],3. Latitude [°],4. Longitude [°],8. Apparent diameter [km],11. Floor diameter [km],14. Apparent depth [km],16. Interior volume [km^3],20. Height of central peak [km],51. Age
Herodotus A,9.98,21.52,-52.14,8.28,1.8,1.645,39.76,0,
Herodotus B,5.64,22.57,-55.47,4.68,0.66,0.962,7.18,0,
Herodotus C,4.68,21.94,-55.05,3.88,0.47,0.807,4.1,0,
Herodotus E,36.55,29.35,-51.52,31.43,16.75,2.134,970.17,0.72,
Herodotus G,3.51,24.68,-50.33,2.91,0.28,0.615,1.73,0,
Herodotus H,6.22,26.77,-50.07,5.16,0.78,1.054,9.63,0,
Herodotus K,4.72,24.51,-51.97,3.92,0.48,0.813,4.21,0,
Herodotus L,3.93,26.11,-53.19,3.26,0.35,0.684,2.43,0,
Herodotus N,4.32,23.64,-50.12,3.59,0.41,0.748,3.22,0,
Herodotus R,3.94,27.37,-53.95,3.27,0.35,0.686,2.45,0,
Herodotus S,4.1,27.68,-53.43,3.4,0.37,0.712,2.76,0,
Herodotus T,5.03,27.88,-53.81,4.17,0.54,0.863,5.09,0,
Heron,28.1,0.65,119.88,24.17,12.06,1.97,528.55,0.43,
Heron H,17.88,0.24,120.7,14.84,5.03,2.848,0,0.18,
Heron Y,15.19,1.42,119.69,12.61,3.77,2.443,0,0,
Herschel,39.09,-5.69,-2.09,33.62,18.21,2.178,1133.05,0.82,Eratosthenian
Herschel C,9.89,-5.01,-3.18,8.21,1.77,1.631,38.69,0,
Herschel D,19.24,-5.32,-3.99,16.55,5.73,1.755,220.34,0.2,
Herschel F,5.84,-5.79,-4.39,4.85,0.7,0.994,7.97,0,
Herschel G,12.25,-6.5,-2.41,10.17,2.58,1.995,73.53,0,
Herschel H,4.7,-6.31,-3.45,3.9,0.48,0.81,4.15,0,
Herschel J,4.85,-6.42,-4.28,4.03,0.5,0.834,4.56,0,
Herschel N,14.41,-5.22,-1.09,11.96,3.44,2.325,0,0,
Herschel X,2.72,-5.36,-2.72,2.26,0.18,0.484,0.8,0,
Hertz,82.94,13.32,104.56,71.33,46.6,2.804,6440.53,0,Nectarian
Hertzsprung,536.37,1.37,-128.66,461.28,0,3.379,0,0,Nectarian 
Hertzsprung D,48.29,3.43,-126.2,41.53,23.71,2.322,1846.24,1.25,
Hertzsprung H,20.01,-1.26,-125.15,17.21,7.89,1.777,241.24,0.22,
Hertzsprung K,27.34,-0.67,-128.48,23.51,11.65,1.953,496.11,0.41,
Hertzsprung L,34.89,0.22,-128.7,30.01,15.8,2.104,871.4,0.66,
Hertzsprung M,35.79,-7.55,-129.79,30.78,16.31,2.12,924.2,0.69,
Hertzsprung P,22.42,-0.14,-130.24,19.28,9.09,1.839,313.72,0.27,
Hertzsprung R,30.39,-0.27,-132.8,26.14,13.3,2.017,633.41,0.5,
Hertzsprung S,48.9,0.45,-133.4,42.05,24.09,2.331,1900.55,1.28,Nectarian
Hertzsprung V,40.36,5.07,-134.17,34.71,18.95,2.199,1219.9,0.87,Upper Imbrian
Hertzsprung X,24.12,3.68,-130.08,20.74,9.96,1.88,371.42,0.32,
Hertzsprung Y,25.16,8.77,-131.99,21.64,10.5,1.905,409.47,0.34,
Hesiodus,43.24,-29.42,-16.42,37.19,20.66,2.245,1430.45,1,Nectarian
Hesiodus A,14.13,-30.13,-17.07,11.73,3.32,2.282,0,0,
Hesiodus B,9.88,-27.16,-17.54,8.2,1.77,1.63,38.58,0,
Hesiodus D,4.58,-29.39,-16.43,3.8,0.45,0.791,3.84,0,
Hesiodus E,3.16,-27.91,-15.35,2.62,0.24,0.557,1.26,0,
Hesiodus X,23.9,-27.4,-16.28,20.55,9.85,1.875,363.64,0.31,
Hesiodus Y,17.8,-28.32,-17.29,14.77,4.99,2.836,0,0.17,
Hesiodus Z,3.78,-28.77,-19.51,3.14,0.32,0.66,2.16,0,
Hess,90.44,-54.47,174.19,77.78,51.92,2.828,7866.29,0,pre-Nectarian
Hess M,25.18,-56.2,173.42,21.65,10.51,1.905,410.22,0.35,
Hess W,25.93,-52.79,171.04,22.3,10.91,1.922,439,0.37,
Hess Z,81.1,-52.08,173.71,69.75,45.31,2.798,6115.26,0,pre-Nectarian
Hess-Apollo,0.64,20.09,30.75,0.53,0.01,0.086,0.01,0,
Hevelius,113.87,2.2,-67.46,97.93,69.23,2.894,13393.14,0,Nectarian
Hevelius A,14.01,2.85,-68.23,11.63,3.27,2.264,0,0,
Hevelius B,13.5,1.36,-68.98,11.21,3.06,2.186,0,0,
Hevelius D,7.76,3.05,-60.91,6.44,1.15,1.298,18.69,0,
Hevelius E,8.81,2.96,-65.78,7.31,1.44,1.463,27.35,0,
Hevelius J,13.13,0.8,-69.9,10.9,2.92,2.13,0,0,
Hevelius K,5.67,1.58,-70.08,4.71,0.66,0.966,7.29,0,
Hevelius L,7.6,2.04,-70.48,6.31,1.11,1.273,17.56,0,
Hevesy,49.99,83.09,149.15,42.99,24.76,2.347,1999.85,1.33,
Heymans,46.45,74.76,-144.94,39.95,22.59,2.295,1687.77,1.15,Nectarian
Heymans D,28.49,76.3,-133.19,24.5,12.27,1.978,545.65,0.44,
Heymans F,52.98,74.64,-134.3,45.56,26.62,2.388,2287.05,0,
Heymans T,31.7,74.66,-155.73,27.26,14.02,2.043,698.27,0.54,
Heyrovsky,16.66,-39.55,-95.42,13.83,4.44,2.665,0,0,
Hilbert,173.24,-17.87,108.32,148.99,0,3.018,0,0,Nectarian
Hilbert A,10.28,-16.18,109.06,8.53,1.89,1.692,43.45,0,
Hilbert E,48.73,-16.59,112.29,41.91,23.98,2.329,1885.33,1.27,Lower Imbrian
Hilbert G,47.11,-18.75,114.2,40.51,22.99,2.305,1743.69,1.19,Nectarian
Hilbert H,14.69,-18.43,109.86,12.19,3.56,2.367,0,0,
Hilbert L,32.59,-21.14,109.11,28.03,14.51,2.06,744.39,0.57,Nectarian
Hilbert S,11.16,-18.31,106.09,9.26,2.19,1.828,55.6,0,
Hilbert W,19.25,-17.32,107.9,16.56,5.73,1.756,220.6,0.2,
Hilbert Y,24.95,-15.85,107.78,21.46,10.39,1.9,401.62,0.34,
Hill,15.86,20.91,40.81,13.16,4.07,2.544,0,0,
Hind,28.5,-7.92,7.31,24.51,12.27,1.978,546.1,0.44,
Hind C,6.75,-8.71,7.44,5.6,0.9,1.139,12.3,0,
Hinshelwood,13.35,89.41,-51.89,11.08,3,2.163,0,0,
Hippalus,57.36,-24.92,-30.42,49.33,29.4,2.447,2747.67,0,Nectarian
Hippalus A,7.62,-23.82,-32.85,6.32,1.12,1.276,17.7,0,
Hippalus B,4.98,-25.23,-30.39,4.13,0.53,0.855,4.94,0,
Hippalus C,3.33,-24.14,-30.64,2.76,0.26,0.586,1.48,0,
Hippalus D,22.42,-23.67,-32.1,19.28,9.09,1.839,313.72,0.27,
Hipparchus,143.95,-5.36,4.91,123.8,0,2.963,23016.85,0,pre-Nectarian
Hipparchus B,4.41,-6.99,1.73,3.66,0.43,0.763,3.43,0,
Hipparchus C,16.51,-7.41,8.21,13.7,4.37,2.642,0,0,
Hipparchus D,4.22,-4.47,2.1,3.5,0.39,0.732,3.01,0,
Hipparchus E,3.94,-4.23,2.23,3.27,0.35,0.686,2.45,0,
Hipparchus F,8.91,-4.2,2.47,7.4,1.47,1.479,28.29,0,
Hipparchus G,13.68,-5.03,7.4,11.35,3.14,2.214,0,0,
Hipparchus H,3.84,-5.48,2.28,3.19,0.33,0.67,2.26,0,
Hipparchus J,13.79,-7.59,3.2,11.45,3.18,2.23,0,0,
Hipparchus K,10.87,-6.97,2.16,9.02,2.09,1.783,51.37,0,
Hipparchus L,12.65,-6.87,9,10.5,2.73,2.056,80.97,0,
Hipparchus N,5.48,-4.85,4.98,4.55,0.62,0.936,6.58,0,
Hipparchus P,5.02,-4.75,2.7,4.17,0.53,0.862,5.06,0,
Hipparchus Q,6.89,-8.5,2.87,5.72,0.94,1.161,13.08,0,
Hipparchus T,6.01,-7.15,3.53,4.99,0.73,1.021,8.68,0,
Hipparchus U,7.73,-6.77,3.55,6.42,1.15,1.294,18.48,0,
Hipparchus W,5.21,-5.08,7.72,4.32,0.57,0.892,5.66,0,
Hipparchus X,17.3,-5.85,4.89,14.36,4.75,2.761,0,0.16,
Hipparchus Z,5.64,-8.56,9.06,4.68,0.66,0.962,7.18,0,
Hippocrates,59.24,70.26,-146.54,50.95,30.61,2.711,2960.18,0,Nectarian
Hippocrates Q,36.2,68.47,-148.65,31.13,16.55,2.127,948.84,0.71,
Hirayama,145.21,-6.01,93.63,124.88,0,2.966,23484.91,0,pre-Nectarian
Hirayama C,23.23,-4.18,95.41,19.98,9.51,1.859,340.53,0.29,
Hirayama F,35.21,-5.76,97.12,30.28,15.98,2.109,889.97,0.67,
Hirayama G,18.04,-6.44,96.77,15.51,5.11,1.721,0,0.18,
Hirayama K,38.13,-8.26,94.88,32.79,17.65,2.161,1069.8,0.78,Nectarian
Hirayama L,23.09,-9.37,94.36,19.86,9.44,1.856,335.8,0.29,
Hirayama M,28.54,-9.26,93.54,24.54,12.29,1.979,547.87,0.44,
Hirayama N,16.39,-7.15,93.64,13.6,4.32,2.624,0,0,
Hirayama Q,41.04,-7.95,91.26,35.29,19.35,2.21,1267.9,0.9,
Hirayama S,28.01,-6.47,92.34,24.09,12.01,1.968,524.65,0.43,
Hirayama T,17.15,-6.42,91.53,14.23,4.68,2.738,0,0.16,
Hirayama Y,48.89,-4.54,93.24,42.05,24.08,2.331,1899.66,1.28,Nectarian
Hoffmeister,44.46,15.04,136.84,38.24,21.39,2.264,1525.41,1.06,Nectarian
Hoffmeister D,21.53,16.63,140.27,18.52,8.65,1.816,285.7,0.25,
Hoffmeister F,18.66,14.56,141.08,16.05,5.43,1.739,0,0.19,
Hoffmeister N,41.47,13.47,137.06,35.66,19.61,2.217,1298.8,0.92,Nectarian
Hoffmeister Z,27.56,17.68,136.7,23.7,11.77,1.958,505.38,0.41,
Hogg,38.39,33.51,121.96,33.02,17.8,2.166,1086.73,0.79,Nectarian
Hogg E,19.83,33.96,125.03,17.05,6.04,1.772,236.26,0.22,
Hogg K,24.79,30.94,123.58,21.32,10.31,1.896,395.69,0.33,
Hogg P,23.04,32.37,121.55,19.81,9.41,1.854,334.13,0.29,
Hogg T,25.58,33.62,119.07,22,10.72,1.914,425.43,0.36,
Hohmann,16.81,-17.92,-94.26,13.95,4.51,2.687,0,0,
Hohmann Q,14.06,-21.78,-98.28,11.67,3.29,2.271,0,0,
Holden,47.6,-19.19,62.53,40.94,23.29,2.312,1785.87,1.21,Nectarian
Holden R,18.3,-20.82,60.99,15.74,5.24,1.729,0,0.18,
Holden S,13.83,-20.41,61.56,11.48,3.2,2.236,0,0,
Holden T,9.46,-19.02,64.17,7.85,1.64,1.564,33.86,0,
Holden V,11.57,-18.57,62.07,9.6,2.33,1.891,61.95,0,
Holden W,11.53,-18.91,60.02,9.57,2.32,1.885,61.31,0,
Holetschek,37.77,-27.61,151.15,32.48,17.45,2.155,1046.61,0.77,Upper Imbrian
Holetschek N,16.49,-30.25,150.21,13.69,4.36,2.639,0,0,
Holetschek P,15.62,-29.98,149.56,12.96,3.96,2.508,0,0,
Holetschek R,77.85,-29.13,147.83,66.95,43.06,2.786,5563.96,0,Nectarian
Holetschek Z,26.53,-26.31,151.12,22.82,11.22,1.936,462.82,0.38,Eratosthenian
Hommel,113.6,-54.74,32.93,97.7,69.03,2.894,13319.9,0,pre-Nectarian
Hommel A,44.8,-53.85,33.97,38.53,21.59,2.27,1552.49,1.07,
Hommel B,33.02,-55.34,36.94,28.4,14.75,2.069,767.28,0.59,Eratosthenian
Hommel C,51.41,-54.91,29.82,44.21,25.64,2.367,2133.52,0,Nectarian
Hommel D,26.53,-55.93,32.55,22.82,11.22,1.936,462.82,0.38,
Hommel E,13.38,-59.1,31.04,11.11,3.02,2.168,0,0,
Hommel F,18.25,-58.59,32.03,15.7,5.22,1.727,0,0.18,
Hommel G,30.95,-58.11,27.4,26.62,13.6,2.028,660.7,0.52,
Hommel H,42.89,-52.55,30.67,36.89,20.45,2.24,1403.85,0.99,
Hommel HA,10.43,-52.08,30.55,8.66,1.94,1.715,45.39,0,
Hommel J,17.63,-53.53,27.88,14.63,4.91,2.81,0,0.17,
Hommel K,14.86,-55.57,26.95,12.33,3.63,2.393,0,0,
Hommel L,17.28,-56.18,27.87,14.34,4.74,2.758,0,0.16,
Hommel M,7.29,-59.89,27.45,6.05,1.03,1.224,15.5,0,
Hommel N,13.51,-59.43,28.86,11.21,3.07,2.188,0,0,
Hommel O,6.01,-58.7,28.25,4.99,0.73,1.021,8.68,0,
Hommel P,33.52,-56.98,31.74,28.83,15.03,2.078,794.38,0.61,
Hommel Q,28.18,-56.18,38.31,24.23,12.1,1.971,532.04,0.43,Lower Imbrian
Hommel R,10.49,-52.62,32.67,8.71,1.96,1.724,46.17,0,
Hommel S,20.75,-56.75,36.13,17.85,8.26,1.796,262.35,0.24,
Hommel T,21.76,-57.72,26.49,18.71,8.76,1.822,292.8,0.26,
Hommel V,13.38,-53.75,33.65,11.11,3.02,2.168,0,0,
Hommel X,5.41,-60.89,32.17,4.49,0.61,0.925,6.33,0,
Hommel Y,3.79,-60.48,30.86,3.15,0.33,0.662,2.18,0,
Hommel Z,4.17,-59.95,30.51,3.46,0.39,0.724,2.9,0,
Hooke,34.35,41.14,54.86,29.54,15.5,2.094,840.56,0.64,Nectarian
Hooke D,18.73,40.69,55.81,16.11,5.46,1.741,0,0.19,
Hopmann,87.84,-51.01,159.23,75.54,50.06,2.82,7353.71,0,Nectarian
Horatio,0.38,20.19,30.71,0.32,0.01,0.054,0,0,
Hornsby,2.85,23.8,12.51,2.37,0.2,0.506,0.93,0,
Horrebow,24.98,58.8,-40.93,21.48,10.41,1.9,402.73,0.34,
Horrebow A,24.66,59.22,-40.52,21.21,10.24,1.893,390.91,0.33,
Horrebow B,11.9,58.73,-42.94,9.88,2.45,1.941,67.41,0,
Horrebow C,4.69,56.96,-36.02,3.89,0.47,0.808,4.13,0,
Horrebow D,4.34,57.96,-38.82,3.6,0.41,0.751,3.27,0,
Horrebow G,7.07,59.82,-41.84,5.87,0.98,1.189,14.14,0,
Horrocks,29.65,-3.99,5.85,25.5,12.89,2.002,598.35,0.48,Eratosthenian 
Horrocks M,4.82,-4.07,7.62,4,0.5,0.829,4.48,0,
Horrocks U,3.09,-3.19,4.74,2.56,0.23,0.546,1.18,0,
Hortensius,14.16,6.47,-28,11.75,3.33,2.287,0,0,
Hortensius A,9.48,4.37,-30.75,7.87,1.64,1.568,34.08,0,Eratosthenian
Hortensius B,6.19,5.26,-29.5,5.14,0.77,1.05,9.49,0,
Hortensius C,6.33,5.93,-26.73,5.25,0.81,1.072,10.15,0,
Hortensius D,7.06,5.4,-32.38,5.86,0.98,1.188,14.08,0,Eratosthenian
Hortensius E,15.31,5.25,-25.43,12.71,3.83,2.461,0,0,
Hortensius F,6.26,7.04,-25.66,5.2,0.79,1.061,9.81,0,
Hortensius G,4.14,8.13,-26.17,3.44,0.38,0.719,2.84,0,
Hortensius H,6.33,5.88,-31.18,5.25,0.81,1.072,10.15,0,
Houssay,31.41,83.11,98.52,27.01,13.86,2.038,683.6,0.53,
Houtermans,42.68,-9.42,87.38,36.7,20.32,2.237,1388.02,0.98,
Houzeau,76.84,-17.25,-123.89,66.08,42.36,2.783,5398.63,0,pre-Nectarian
Houzeau P,15.23,-19.08,-125.15,12.64,3.79,2.449,0,0,
Houzeau Q,18.61,-18.6,-125.39,16,5.4,1.738,0,0.19,
Hubble,81.84,22.29,86.91,70.38,45.83,2.8,6244.93,0,Nectarian
Hubble C,53.64,19.45,85.62,46.13,27.04,2.397,2353.4,0,
Huggins,65.79,-41.07,-1.52,56.58,34.89,2.74,3771.61,0,Nectarian
Huggins A,9.62,-40.66,-2.27,7.98,1.69,1.589,35.61,0,
Humason,4.34,30.73,-56.66,3.6,0.41,0.751,3.27,0,
Humboldt,199.46,-27.02,80.96,171.54,0,3.061,0,0,Upper Imbrian
Humboldt B,20.88,-30.83,83.64,17.96,8.32,1.8,266.17,0.24,
Humboldt N,14.49,-26.05,80.65,12.03,3.47,2.337,0,0,
Humboldtianum,650,59,82,559,0,3.445,0,0,Nectarian 
Hume,22.3,-4.68,90.47,19.18,9.03,1.836,309.86,0.27,
Hume A,20.65,-3.84,90.65,17.76,8.21,1.794,259.44,0.23,
Hume Z,14.22,-3.61,90.42,11.8,3.36,2.296,0,0,
Humorum,425,-24,-39,365.5,0,3.302,0,0,Nectarian 
Husband,31.26,-40.32,-147.84,26.88,13.77,2.035,676.09,0.53,
Hutton,45.17,37.22,168.68,38.85,21.81,2.275,1582.27,1.09,Nectarian
Hutton P,42.42,35.52,167.36,36.48,20.17,2.232,1368.56,0.96,Lower Imbrian
Hutton W,22.26,38.92,166.71,19.14,9.01,1.835,308.57,0.27,
Huxley,3.48,20.2,-4.54,2.89,0.28,0.61,1.69,0,
Huygens A,5.88,19.77,-1.92,4.88,0.71,1,8.13,0,
Hyginus,8.7,7.76,6.27,7.22,1.41,1.446,26.34,0,
Hyginus A,7.69,6.32,5.66,6.38,1.14,1.287,18.19,0,
Hyginus B,4.85,7.61,5.07,4.03,0.5,0.834,4.56,0,
Hyginus C,4.15,7.69,8.31,3.44,0.38,0.72,2.86,0,
Hyginus D,4.71,11.4,4.33,3.91,0.48,0.812,4.18,0,
Hyginus E,3.78,8.75,8.52,3.14,0.32,0.66,2.16,0,
Hyginus F,3.81,7.99,8.61,3.16,0.33,0.665,2.21,0,
Hyginus G,3.84,10.97,5.93,3.19,0.33,0.67,2.26,0,
Hyginus H,3.42,5.94,7.01,2.84,0.27,0.601,1.6,0,
Hyginus N,10.57,10.55,7.43,8.77,1.99,1.737,47.24,0,
Hyginus S,23.61,6.41,8.01,20.3,9.7,1.868,353.53,0.3,
Hyginus W,21.02,9.62,7.74,18.08,8.39,1.803,270.31,0.24,
Hyginus Z,23.18,8.04,9.44,19.93,9.48,1.858,338.84,0.29,
Hypatia,38.82,-4.25,22.58,33.39,18.05,2.173,1115.05,0.81,
Hypatia A,15.06,-4.9,22.22,12.5,3.72,2.423,0,0,
Hypatia B,4.13,-4.69,21.32,3.43,0.38,0.717,2.82,0,
Hypatia C,14.79,-0.88,20.76,12.28,3.6,2.382,0,0,
Hypatia D,5.36,-3.15,22.68,4.45,0.6,0.917,6.16,0,
Hypatia E,5.7,-0.35,20.42,4.73,0.67,0.971,7.41,0,
Hypatia F,8.24,-4.14,21.47,6.84,1.28,1.374,22.38,0,
Hypatia G,4.81,-2.68,22.96,3.99,0.5,0.828,4.45,0,
Hypatia H,5.19,-4.48,24.06,4.31,0.57,0.889,5.59,0,
Hypatia M,28.53,-5.28,23.41,24.54,12.29,1.979,547.42,0.44,
Hypatia R,3.1,-2.01,21.25,2.57,0.23,0.548,1.19,0,
Ian,1.51,25.72,-0.39,1.25,0.06,0.278,0.14,0,
Ibn Bajja,11.98,-86.3,-75.04,9.94,2.48,1.954,68.77,0,
Ibn Battuta,11.51,-6.95,50.44,9.55,2.31,1.882,60.99,0,
Ibn Firnas,88.29,6.83,122.3,75.93,50.38,2.822,7441.02,0,pre-Nectarian
Ibn Firnas E,40.36,7.21,125.57,34.71,18.95,2.199,1219.9,0.87,Nectarian
Ibn Firnas L,19.6,5.95,123.01,16.86,5.92,1.765,229.98,0.21,
Ibn Yunus,59.69,14.14,91.14,51.33,30.9,2.713,3012.38,0,
Ibn-Rushd,31.08,-11.69,21.71,26.73,13.68,2.031,667.13,0.52,
Icarus,93.73,-5.49,-173.26,80.61,54.29,2.838,8543.12,0,Nectarian
Icarus D,69.36,-4.55,-171.42,59.65,37.27,2.754,4261.27,0,pre-Nectarian
Icarus E,18.81,-5.3,-168.86,16.18,5.5,1.743,0,0.19,
Icarus H,29.13,-7.93,-169.51,25.05,12.61,1.991,574.39,0.46,
Icarus J,28.8,-7.43,-170.97,24.77,12.43,1.984,559.47,0.45,Nectarian
Icarus Q,39.51,-7.77,-176.29,33.98,18.46,2.185,1161.37,0.84,
Icarus V,36.61,-3.91,-176.04,31.48,16.78,2.135,973.85,0.72,Nectarian
Icarus X,44.66,-2.25,-175.68,38.41,21.51,2.268,1541.31,1.07,
Idel'son,59.82,-81.35,112.69,51.45,30.98,2.714,3027.56,0,pre-Nectarian
Idel'son L,28.04,-83.99,118.56,24.11,12.03,1.968,525.95,0.43,
Ideler,37.77,-49.32,22.24,32.48,17.45,2.155,1046.61,0.77,
Ideler A,10.69,-50.21,21.93,8.87,2.03,1.755,48.86,0,
Ideler B,9.67,-50.78,22.35,8.03,1.7,1.597,36.17,0,
Ideler C,6.35,-51.34,23.23,5.27,0.81,1.075,10.24,0,
Ideler L,36.52,-49.33,23.65,31.41,16.73,2.133,968.33,0.72,
Ideler M,18.18,-49,25.57,15.63,5.18,1.725,0,0.18,
Igor,0.1,38.3,-35,0.08,0,0.017,0,0,
Il'in,12.42,-17.8,-97.68,10.31,2.65,2.021,76.63,0,
Imbrium,1160,35,-17,997.6,0,3.65,0,0,Lower Imbrian
Ina,2.98,18.66,5.3,2.47,0.21,0.528,1.06,0,
Index,0.32,26.1,3.66,0.27,0,0.047,0,0,
Ingalls,37.23,26.16,-153.34,32.02,17.14,2.146,1012.37,0.75,
Ingalls G,47.56,25.65,-150.51,40.9,23.27,2.311,1782.4,1.21,
Ingalls M,28.11,23.73,-153.2,24.17,12.06,1.97,528.99,0.43,
Ingalls U,25.71,26.98,-156.39,22.11,10.79,1.917,430.44,0.36,
Ingalls V,24.15,27.15,-155.37,20.77,9.98,1.881,372.49,0.32,
Ingalls Y,21.1,29.51,-154.25,18.15,8.43,1.805,272.69,0.24,
Ingalls Z,25.85,30.09,-153.47,22.23,10.86,1.92,435.87,0.36,
Ingenii,560,-43,165,481.6,0,3.394,0,0,pre-Nectarian 
Inghirami,94.6,-47.49,-68.95,81.36,54.92,2.841,8727.41,0,Nectarian
Inghirami A,33.31,-44.92,-65.45,28.65,14.91,2.074,782.93,0.6,Lower Imbrian
Inghirami C,17.47,-44.07,-74.59,14.5,4.83,2.786,0,0.17,
Inghirami F,22.32,-49.84,-71.59,19.2,9.04,1.837,310.5,0.27,
Inghirami G,29.18,-51.03,-74.29,25.09,12.64,1.992,576.67,0.46,
Inghirami H,19.4,-50.17,-72.89,16.68,5.81,1.76,224.59,0.21,
Inghirami K,24.25,-49.54,-74.05,20.86,10.03,1.883,376.06,0.32,
Inghirami L,14.79,-45.95,-61.1,12.28,3.6,2.382,0,0,
Inghirami M,14.73,-45.5,-60.52,12.23,3.57,2.373,0,0,
Inghirami N,14.24,-48.82,-66.93,11.82,3.37,2.299,0,0,
Inghirami Q,44.03,-47.99,-73.02,37.87,21.13,2.258,1491.55,1.04,
Inghirami S,11.71,-49.26,-68.63,9.72,2.38,1.912,64.23,0,
Inghirami T,10.1,-49.83,-67.97,8.38,1.84,1.664,41.21,0,
Inghirami W,6.99,-44.45,-67.5,5.8,0.96,1.177,13.66,0,
Innes,42.83,27.85,119.31,36.83,20.41,2.239,1399.31,0.98,Eratosthenian
Innes G,20.5,26.87,122.44,17.63,8.13,1.79,255.11,0.23,
Innes S,33.47,27.53,117.42,28.78,15,2.077,791.65,0.6,Lower Imbrian
Innes Z,35.31,29.44,119.18,30.37,16.04,2.111,895.82,0.67,Nectarian
Insularum,600,9,-18,516,0,3.418,0,0,pre-Nectarian 
Ioffe,83.95,-14.38,-129.16,72.2,47.31,2.807,6623.15,0,Upper Imbrian
Isabel,1.22,28.18,-34.07,1.01,0.04,0.228,0.07,0,
Isaev,94.1,-17.57,147.49,80.93,54.56,2.84,8621.23,0,pre-Nectarian
Isaev N,22.36,-18.68,147.25,19.23,9.06,1.838,311.79,0.27,
Isidorus,41.39,-7.96,33.5,35.6,19.56,2.216,1293.02,0.92,Nectarian
Isidorus A,9.92,-8.06,33.21,8.23,1.78,1.636,39.05,0,
Isidorus B,29.51,-4.54,32.99,25.38,12.82,1.999,591.84,0.47,Nectarian
Isidorus C,7.93,-4.8,31.65,6.58,1.2,1.325,19.95,0,
Isidorus D,14.95,-4.28,34.08,12.41,3.67,2.406,0,0,
Isidorus E,13.53,-5.39,32.62,11.23,3.08,2.191,0,0,
Isidorus F,17.18,-8.79,34.19,14.26,4.69,2.743,0,0.16,
Isidorus G,6.53,-6.42,31.67,5.42,0.85,1.104,11.14,0,
Isidorus H,6.74,-3.95,32.63,5.59,0.9,1.137,12.25,0,
Isidorus K,7.15,-8.92,33.34,5.93,1,1.202,14.62,0,
Isidorus U,5.56,-7.95,31.54,4.61,0.64,0.949,6.88,0,
Isidorus V,3.85,-8.88,30.81,3.2,0.33,0.671,2.28,0,
Isidorus W,3.98,-9.49,32.37,3.3,0.35,0.693,2.52,0,
Isis,0.61,18.95,27.48,0.51,0.01,0.082,0.01,0,
Ivan,3.84,26.86,-43.26,3.19,0.33,0.67,2.26,0,
Izsak,30.83,-23.32,117.59,26.51,13.54,2.026,654.8,0.51,Eratosthenian
Izsak T,13.04,-23.36,115.24,10.82,2.88,2.116,0,0,
J. Herschel,154.44,62.31,-41.86,132.82,0,2.984,0,0,pre-Nectarian
J. Herschel B,7.42,60.01,-39,6.16,1.07,1.245,16.34,0,
J. Herschel C,12,62.39,-40.15,9.96,2.49,1.957,69.12,0,
J. Herschel D,9.41,60.47,-38.17,7.81,1.62,1.557,33.33,0,
J. Herschel F,18.88,58.87,-35.5,16.24,5.54,1.745,0,0.2,
J. Herschel K,8.38,62.96,-39.47,6.96,1.32,1.396,23.54,0,
J. Herschel L,7.45,61.01,-40.22,6.18,1.07,1.249,16.54,0,
J. Herschel M,8.59,57.35,-33.11,7.13,1.38,1.429,25.35,0,
J. Herschel N,6.93,60.15,-33.04,5.75,0.94,1.167,13.31,0,
J. Herschel P,6.06,63.61,-33.01,5.03,0.75,1.029,8.9,0,
J. Herschel R,8.73,62.59,-30.7,7.25,1.42,1.451,26.61,0,
Jackson,71.38,22.05,-163.32,61.39,38.63,2.762,4553.43,0,Copernican
Jackson Q,13.17,20.83,-165.15,10.93,2.93,2.136,0,0,
Jackson X,16.8,24.89,-164.68,13.94,4.51,2.686,0,0,
Jacobi,66.28,-56.82,11.3,57,35.22,2.742,3836.81,0,pre-Nectarian
Jacobi A,26.04,-58.66,16.03,22.39,10.96,1.925,443.31,0.37,
Jacobi B,12.95,-54.55,13.94,10.75,2.85,2.102,86.87,0,
Jacobi C,33.91,-59.85,10.49,29.16,15.25,2.085,815.89,0.62,Nectarian
Jacobi D,22.59,-60.91,10.55,19.43,9.18,1.843,319.24,0.28,
Jacobi E,24.95,-58.56,11.72,21.46,10.39,1.9,401.62,0.34,
Jacobi F,41.1,-58.66,9.56,35.35,19.39,2.211,1272.19,0.91,
Jacobi G,35.21,-58.54,13.67,30.28,15.98,2.109,889.97,0.67,
Jacobi H,7.59,-58.65,10.55,6.3,1.11,1.272,17.49,0,
Jacobi J,18.85,-57.97,10.28,16.21,5.52,1.745,0,0.2,
Jacobi K,9.65,-56.98,10.84,8.01,1.69,1.594,35.95,0,
Jacobi L,8.78,-55.45,15.38,7.29,1.43,1.458,27.07,0,
Jacobi M,9.3,-57.96,12.16,7.72,1.59,1.539,32.17,0,
Jacobi N,7.36,-56.56,11.75,6.11,1.05,1.235,15.95,0,
Jacobi O,14.57,-55.74,11.85,12.09,3.51,2.349,0,0,
Jacobi P,14.74,-57.42,13.86,12.23,3.58,2.375,0,0,
Jacobi Q,3.92,-55.85,14.03,3.25,0.35,0.683,2.41,0,
Jacobi R,5.35,-55.47,13.76,4.44,0.6,0.915,6.13,0,
Jacobi S,4.78,-57.6,14.85,3.97,0.49,0.823,4.37,0,
